"","Id","SalePrice"
"1",1461,117409.67761678
"2",1462,161876.849497472
"3",1463,172580.400694484
"4",1464,201085.725841939
"5",1465,199314.155180357
"6",1466,183109.53486173
"7",1467,NA
"8",1468,173214.038679539
"9",1469,208740.675672218
"10",1470,115671.511893511
"11",1471,206842.781206224
"12",1472,116889.409888899
"13",1473,93173.4612192396
"14",1474,157259.507880577
"15",1475,117478.796397366
"16",1476,319677.517029209
"17",1477,252414.91185862
"18",1478,298342.22423311
"19",1479,276793.46467292
"20",1480,408927.625266433
"21",1481,299268.096082956
"22",1482,216104.756004277
"23",1483,172805.097967531
"24",1484,173492.104061352
"25",1485,203677.991812783
"26",1486,210129.027306979
"27",1487,293831.10530173
"28",1488,264985.464313833
"29",1489,182714.591347365
"30",1490,229896.231844578
"31",1491,213139.307959561
"32",1492,89935.4856384937
"33",1493,219816.539596983
"34",1494,300964.850878635
"35",1495,287781.624581875
"36",1496,223460.257189248
"37",1497,169656.754878864
"38",1498,159695.074966071
"39",1499,166708.420200309
"40",1500,156244.597041609
"41",1501,NA
"42",1502,NA
"43",1503,281398.43121565
"44",1504,251133.195380855
"45",1505,224688.85752415
"46",1506,NA
"47",1507,249578.803821773
"48",1508,NA
"49",1509,162128.532333628
"50",1510,150461.111591403
"51",1511,147483.916208943
"52",1512,194218.562622443
"53",1513,NA
"54",1514,119859.762850897
"55",1515,225859.366076648
"56",1516,178806.999736558
"57",1517,170649.643987135
"58",1518,112695.143805662
"59",1519,246903.593055496
"60",1520,NA
"61",1521,119534.310962224
"62",1522,210442.265940601
"63",1523,79176.9613325578
"64",1524,114532.582088545
"65",1525,96925.0575097376
"66",1526,84001.6569199714
"67",1527,91032.7366359309
"68",1528,151451.512862352
"69",1529,134279.21333479
"70",1530,237244.609786204
"71",1531,149613.647290187
"72",1532,97042.5168062728
"73",1533,153857.297789321
"74",1534,126606.824683401
"75",1535,147671.578064067
"76",1536,NA
"77",1537,25776.668544701
"78",1538,188149.483382839
"79",1539,242692.407579956
"80",1540,74540.6334807464
"81",1541,160291.415358525
"82",1542,136193.933695877
"83",1543,NA
"84",1544,77532.8939587705
"85",1545,139008.682388013
"86",1546,146526.237837668
"87",1547,145843.471321452
"88",1548,143940.589195489
"89",1549,127270.30805799
"90",1550,133640.130077043
"91",1551,135667.411977026
"92",1552,132043.607459745
"93",1553,138950.40301067
"94",1554,122037.263053673
"95",1555,166977.750502464
"96",1556,73939.6704759291
"97",1557,66108.81910697
"98",1558,94919.0599977506
"99",1559,NA
"100",1560,127746.820309644
"101",1561,89510.0443697421
"102",1562,112161.279946982
"103",1563,114649.423427947
"104",1564,NA
"105",1565,136422.31083186
"106",1566,NA
"107",1567,62921.1468724698
"108",1568,NA
"109",1569,79722.6431410114
"110",1570,143806.273547996
"111",1571,100252.993926846
"112",1572,135059.624029569
"113",1573,254056.023932198
"114",1574,NA
"115",1575,248657.822803453
"116",1576,264266.84140226
"117",1577,198878.175268857
"118",1578,153555.95176733
"119",1579,131762.762331585
"120",1580,NA
"121",1581,140069.398832646
"122",1582,126645.30150816
"123",1583,318389.953890407
"124",1584,228991.681094833
"125",1585,NA
"126",1586,43283.7301773421
"127",1587,100686.958853923
"128",1588,143892.92946321
"129",1589,102783.987267053
"130",1590,131808.024665038
"131",1591,49233.0218566415
"132",1592,124630.357874121
"133",1593,NA
"134",1594,105259.047126452
